date, valuePerTh
2020-05-03,0.15
2020-05-04,0.141
2020-05-05,0.148
2020-05-06,0.14
2020-05-07,0.157
2020-05-08,0.155
2020-05-09,0.161
2020-05-10,0.152
2020-05-11,0.12
2020-05-12,0.0761
2020-05-13,0.0742
2020-05-14,0.0937
2020-05-15,0.0881
2020-05-16,0.0816
2020-05-17,0.0829
2020-05-18,0.0951
2020-05-19,0.0949
2020-05-20,0.101
2020-05-21,0.101
2020-05-22,0.0832
2020-05-23,0.0934
2020-05-24,0.078
2020-05-25,0.0846
2020-05-26,0.0861
2020-05-27,0.085
2020-05-28,0.0828
2020-05-29,0.0819
2020-05-30,0.0944
2020-05-31,0.0818
2020-06-01,0.0892
2020-06-02,0.0848
2020-06-03,0.0904
2020-06-04,0.0908
2020-06-05,0.101
2020-06-06,0.0966
2020-06-07,0.0778
2020-06-08,0.098
2020-06-09,0.0906
2020-06-10,0.0894
2020-06-11,0.103
2020-06-12,0.084
2020-06-13,0.0806
2020-06-14,0.0938
2020-06-15,0.0781
2020-06-16,0.0881
2020-06-17,0.0836
2020-06-18,0.0685
2020-06-19,0.0873
2020-06-20,0.0755
2020-06-21,0.0788
2020-06-22,0.0745
2020-06-23,0.0878
2020-06-24,0.0734
2020-06-25,0.0755
2020-06-26,0.0862
2020-06-27,0.0661
2020-06-28,0.0751
2020-06-29,0.0754
2020-06-30,0.0716
2020-07-01,0.0862
2020-07-02,0.0759
2020-07-03,0.0783
2020-07-04,0.0712
2020-07-05,0.0775
2020-07-06,0.0754
2020-07-07,0.074
2020-07-08,0.0785
2020-07-09,0.0806
2020-07-10,0.0762
2020-07-11,0.0761
2020-07-12,0.0785
2020-07-13,0.0662
2020-07-14,0.0761
2020-07-15,0.0646
2020-07-16,0.0723
2020-07-17,0.0692
2020-07-18,0.0774
2020-07-19,0.0706
2020-07-20,0.072
2020-07-21,0.0724
2020-07-22,0.0861
2020-07-23,0.0798
2020-07-24,0.0861
2020-07-25,0.0674
2020-07-26,0.0811
2020-07-27,0.0812
2020-07-28,0.0983
2020-07-29,0.0951
2020-07-30,0.0961
2020-07-31,0.109
2020-08-01,0.0947
2020-08-02,0.0958
2020-08-03,0.103
2020-08-04,0.0867
2020-08-05,0.092
2020-08-06,0.116
2020-08-07,0.097
2020-08-08,0.0918
2020-08-09,0.0979
2020-08-10,0.0978
2020-08-11,0.104
2020-08-12,0.0976
2020-08-13,0.0884
2020-08-14,0.104
2020-08-15,0.0904
2020-08-16,0.0895
2020-08-17,0.0887
2020-08-18,0.114
2020-08-19,0.104
2020-08-20,0.0989
2020-08-21,0.101
2020-08-22,0.0923
2020-08-23,0.0962
2020-08-24,0.0901
2020-08-25,0.0823
2020-08-26,0.0934
2020-08-27,0.0945
2020-08-28,0.0999
2020-08-29,0.0803
2020-08-30,0.0866
2020-08-31,0.0939
2020-09-01,0.103
2020-09-02,0.0884
2020-09-03,0.0906
2020-09-04,0.0863
2020-09-05,0.0878
2020-09-06,0.0789
2020-09-07,0.0898
2020-09-08,0.073
2020-09-09,0.0748
2020-09-10,0.0938
2020-09-11,0.0751
2020-09-12,0.0857
2020-09-13,0.0732
2020-09-14,0.0865
2020-09-15,0.0822
2020-09-16,0.0824
2020-09-17,0.0898
2020-09-18,0.0802
2020-09-19,0.081
2020-09-20,0.0734
2020-09-21,0.0714
2020-09-22,0.0713
2020-09-23,0.0833
2020-09-24,0.0688
2020-09-25,0.0819
2020-09-26,0.072
2020-09-27,0.0713
2020-09-28,0.0657
2020-09-29,0.0799
2020-09-30,0.0827
2020-10-01,0.0711
2020-10-02,0.0805
2020-10-03,0.0739
2020-10-04,0.0765
2020-10-05,0.0732
2020-10-06,0.072
2020-10-07,0.0864
2020-10-08,0.0771
2020-10-09,0.0801
2020-10-10,0.0795
2020-10-11,0.0759
2020-10-12,0.0827
2020-10-13,0.0855
2020-10-14,0.0731
2020-10-15,0.0837
2020-10-16,0.0791
2020-10-17,0.0732
2020-10-18,0.0637
2020-10-19,0.083
2020-10-20,0.0815
2020-10-21,0.0884
2020-10-22,0.0985
2020-10-23,0.0987
2020-10-24,0.0914
2020-10-25,0.0792
2020-10-26,0.0895
2020-10-27,0.111
2020-10-28,0.113
2020-10-29,0.116
2020-10-30,0.116
2020-10-31,0.129
2020-11-01,0.107
2020-11-02,0.0957
2020-11-03,0.157
2020-11-04,0.13
2020-11-05,0.137
2020-11-06,0.15
2020-11-07,0.125
2020-11-08,0.12
2020-11-09,0.151
2020-11-10,0.119
2020-11-11,0.133
2020-11-12,0.138
2020-11-13,0.121
2020-11-14,0.125
2020-11-15,0.132
2020-11-16,0.131
2020-11-17,0.133
2020-11-18,0.144
2020-11-19,0.136
2020-11-20,0.146
2020-11-21,0.141
2020-11-22,0.133
2020-11-23,0.129
2020-11-24,0.147
2020-11-25,0.159
2020-11-26,0.135
2020-11-27,0.133
2020-11-28,0.127
2020-11-29,0.128
2020-11-30,0.119
2020-12-01,0.16
2020-12-02,0.147
2020-12-03,0.152
2020-12-04,0.136
2020-12-05,0.129
2020-12-06,0.137
2020-12-07,0.132
2020-12-08,0.134
2020-12-09,0.133
2020-12-10,0.131
2020-12-11,0.123
2020-12-12,0.128
2020-12-13,0.14
2020-12-14,0.131
2020-12-15,0.138
2020-12-16,0.145
2020-12-17,0.182
2020-12-18,0.198
2020-12-19,0.177
2020-12-20,0.16
2020-12-21,0.174
2020-12-22,0.18
2020-12-23,0.193
2020-12-24,0.153
